,Accuracy,Precision,Sensibilidad (Recall),Especificidad,F1-score,Balanced Accuracy,ROC-AUC
ResNet18 (transfer),0.7129629629629629,0.618348623853211,0.8938992042440318,0.5728952772073922,0.7310195227765727,0.733397240725712,0.7214363912657477
LogisticRegression,0.7106481481481481,0.6218809980806143,0.8594164456233422,0.5954825462012321,0.7216035634743875,0.7274494959122871,0.7467360933338417
CNN propia,0.7094907407407407,0.6202290076335878,0.8620689655172413,0.5913757700205339,0.7214206437291898,0.7267223677688877,0.7798953153339615
RandomForest,0.6863425925925926,0.6043307086614174,0.8143236074270557,0.5872689938398358,0.6937853107344633,0.7007963006334457,0.7641789987962897
XGBoost,0.6875,0.6085192697768763,0.7957559681697612,0.6036960985626283,0.6896551724137931,0.6997260333661948,0.6882227027380323
LightGBM,0.6840277777777778,0.6052631578947368,0.7931034482758621,0.5995893223819302,0.6865671641791045,0.6963463853288961,0.6933806829013229
SVM,0.6608796296296297,0.584,0.7745358090185677,0.5728952772073922,0.6659064994298746,0.67371554311298,0.7275584289674781
