,Accuracy,Precision,Sensibilidad (Recall),Especificidad,F1-score,Balanced Accuracy,ROC-AUC
CNN propia,0.7037037037037037,0.6170212765957447,0.8461538461538461,0.5934291581108829,0.7136465324384788,0.7197915021323645,0.7779181803822461
LogisticRegression,0.6932870370370371,0.6115537848605578,0.8143236074270557,0.5995893223819302,0.6985210466439136,0.7069564649044929,0.7285823996862728
XGBoost,0.6967592592592593,0.6180698151950719,0.7984084880636605,0.6180698151950719,0.6967592592592593,0.7082391516293662,0.6927815510977731
RandomForest,0.6863425925925926,0.603515625,0.8196286472148541,0.5831622176591376,0.6951631046119235,0.7013954324369958,0.746431080779307
ResNet18 (transfer),0.6828703703703703,0.604040404040404,0.7931034482758621,0.5975359342915811,0.6857798165137615,0.6953196912837216,0.6995462938251299
SVM,0.6631944444444444,0.5866935483870968,0.7718832891246684,0.5790554414784395,0.6666666666666666,0.675469365301554,0.7418313825238699
