,Accuracy,Precision,Recall (Sensitivity),Specificity,F1-Score,ROC-AUC,Balanced Accuracy
ViT,0.782608695652174,0.6875,1.0,0.5833333333333334,0.8148148148148148,0.8030303030303031,0.7916666666666667
ResNet18,0.7391304347826086,0.6666666666666666,0.9090909090909091,0.5833333333333334,0.7692307692307693,0.8257575757575758,0.7462121212121212
EfficientNet,0.6956521739130435,0.6428571428571429,0.8181818181818182,0.5833333333333334,0.72,0.7348484848484849,0.7007575757575758
EEG-Conformer,0.6521739130434783,0.5882352941176471,0.9090909090909091,0.4166666666666667,0.7142857142857143,0.7272727272727273,0.6628787878787878
RandomForest,0.6521739130434783,0.6,0.8181818181818182,0.5,0.6923076923076923,0.6742424242424242,0.6590909090909092
LightGBM,0.6521739130434783,0.6,0.8181818181818182,0.5,0.6923076923076923,0.7045454545454546,0.6590909090909092
XGBoost,0.6521739130434783,0.6,0.8181818181818182,0.5,0.6923076923076923,0.7272727272727273,0.6590909090909092
LogisticRegression,0.6521739130434783,0.6,0.8181818181818182,0.5,0.6923076923076923,0.7045454545454546,0.6590909090909092
SVM,0.6521739130434783,0.6153846153846154,0.7272727272727273,0.5833333333333334,0.6666666666666666,0.7272727272727273,0.6553030303030303
CNN,0.5652173913043478,0.5333333333333333,0.7272727272727273,0.4166666666666667,0.6153846153846154,0.6515151515151515,0.571969696969697
