,Accuracy,Precision,Recall (Sensitivity),Specificity,F1-Score,ROC-AUC,Balanced Accuracy
ViT,0.7418981481481481,0.6447368421052632,0.9098143236074271,0.6119096509240246,0.7546754675467546,0.7772863686621386,0.7608619872657258
Chronos,0.78375,0.748587570621469,0.7593123209169055,0.802660753880266,0.7539118065433855,0.858957172536039,0.7809865373985858
ResNet18,0.7210648148148148,0.6312741312741312,0.8673740053050398,0.6078028747433265,0.7307262569832402,0.7832559000866017,0.7375884400241832
EEG-Conformer,0.6388888888888888,0.5537190082644629,0.8885941644562334,0.4455852156057495,0.6822810590631364,0.6990996682988468,0.6670896900309915
LightGBM,0.6921296296296297,0.6247191011235955,0.7374005305039788,0.6570841889117043,0.6763990267639902,0.6698620362856007,0.6972423597078415
XGBoost,0.6851851851851852,0.613882863340564,0.7506631299734748,0.6344969199178645,0.6754176610978521,0.6751670760733991,0.6925800249456697
RandomForest,0.6828703703703703,0.6136865342163356,0.7374005305039788,0.6406570841889117,0.6698795180722892,0.7279396946606462,0.6890288073464452
EfficientNet,0.6574074074074074,0.5783365570599613,0.7931034482758621,0.5523613963039015,0.668903803131991,0.6579692699851306,0.6727324222898818
SVM,0.6770833333333334,0.6113636363636363,0.713527851458886,0.648870636550308,0.6585067319461444,0.7257828201678658,0.681199244004597
CNN,0.6412037037037037,0.564299424184261,0.7798408488063661,0.5338809034907598,0.6547884187082406,0.6183584877913278,0.6568608761485629
LogisticRegression,0.6342592592592593,0.5673289183222958,0.6816976127320955,0.5975359342915811,0.619277108433735,0.6966486745570509,0.6396167735118383
